Capital Cup 2016;MXO;Touch Colonia;5;Kate;McRae;F;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;12;Ute;Kohlheim;F;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;11;Pia;Kotzur;F;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;33;Solveig;Heisterkamp;F;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;3;Chrissie;Redenbach;F;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;2;Sarah;Wilmschen;F;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;36;Mark;Moses;M;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;69;Lennart;Palm;M;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;29;Jeremy;Despretz;M;;;;;;;;
Capital Cup 2016;MXO;Touch Colonia;7;Udo;Haberich;M;;;;;;;;



Capital Cup 2016;MXO;BRC Bears;11;Katharina;Urban;F;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;4;Jeanette;;F;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;10;Ulrike;Heller;F;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;20;Karo;;F;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;9;Selim;Yürgüc;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;22;Aaron;Herrera;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;23;Martin;K;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;17;Sven;;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;15;Martin;;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;5;Moritz;;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;25;Daniel;;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;19;Lukas;M.;M;;;;;;;;
Capital Cup 2016;MXO;BRC Bears;14;Lukas;W.;M;;;;;;;;


Capital Cup 2016;MXO;Touch Munich;10;Svenja;Gellert;F;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Nancy;;F;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Lena;;F;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Ulrike;;F;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;6;Lok Man;Ho;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;4;Jonathan;Pengelly;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;9;Nikolay;Landjev;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Ricardo;de Castro;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Bob;Kalman;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Fin;;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Matt;Dang;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Duncan;Binger;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Stefan;Breitschuh;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Victor;;M;;;;;;;;
Capital Cup 2016;MXO;Touch Munich;;Allen;;M;;;;;;;;


Capital Cup 2016;MXO;Touch Frankfurt;;Sharlen;Smith;F;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Lisa;Tighe-Umbers;M;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Vicki;Seipp;F;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Alexandra;Ils;F;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Simi;Hebler;M;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Ben;Edwards;M;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Jörg;Scloßmacher;M;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Thomas;Trespialles;M;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Annie;Ueyama;F;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Greg;Gibsons;M;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Verena;Seipp;F;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Josue Manuel;Quintana Diaz;M;;;;;;;;
Capital Cup 2016;MXO;Touch Frankfurt;;Alex;Ibbett;M;;;;;;;;


Capital Cup 2016;MXO;Touch Berlin Armadillos;;Emily;Lux;F;;;;;;;;
Capital Cup 2016;MXO;Touch Berlin Armadillos;;Leo;Picau;F;;;;;;;;
