;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Capital Cup 2015;MXO;JGA;;Laura;Mittchell;F;1;JGA;7;4;Dragoni Milano;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;6;Fae;Clerey;;1;JGA;7;4;Dragoni Milano;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;2;Rebekah;Fant;F;1;JGA;7;4;Dragoni Milano;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Richard;Perrio;M;;;;;;;;
Capital Cup 2015;MXO;JGA;;Matt;Brehaut;M;;;;;;;;
Capital Cup 2015;MXO;JGA;;Luke;Gardner;M;;;;;;;;
Capital Cup 2015;MXO;JGA;;Mel;Jimenez;;;;;;;;;
Capital Cup 2015;MXO;JGA;;Katie;Anderson;F;;;;;;;;
Capital Cup 2015;MXO;JGA;;Lucy;Ferrin;F;;;;;;;;
Capital Cup 2015;MXO;JGA;11;Dominic;Page;M;1;JGA;10;4;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Richard;Perrio;M;2;JGA;10;4;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Matt;Brehaut;M;3;JGA;10;4;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Laura;Mittchell;F;1;JGA;10;4;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Mel;Jimenez;F;2;JGA;10;4;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Katie;Anderson;F;1;JGA;10;4;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;11;Dominic;Page;M;2;JGA;9;0;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Richard;Perrio;M;1;JGA;9;0;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Matt;Brehaut;M;1;JGA;9;0;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Derrick;Cant;M;3;JGA;9;0;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;6;Fae;Clerey;;1;JGA;9;0;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Mel;Jimenez;;1;JGA;9;0;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;;Lucy;Ferrin;F;1;JGA;9;0;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;JGA;2;Rebekah;Fant;F;1;JGA;5;3;Munich;Gold;½;2
Capital Cup 2015;MXO;JGA;;Matt;Brehaut;M;2;JGA;5;3;Munich;Gold;½;2
Capital Cup 2015;MXO;JGA;;Derrick;Cant;M;2;JGA;5;3;Munich;Gold;½;2
Capital Cup 2015;MXO;JGA;11;Dominic;Page;M;1;JGA;3;2;Frankfurt;Gold;Semifinal;2
Capital Cup 2015;MXO;JGA;6;Fae;Clerey;;1;JGA;3;2;Frankfurt;Gold;Semifinal;2
Capital Cup 2015;MXO;JGA;11;Dominic;Page;M;1;JGA;2;7;New Orleans Fluffy Dragons;Gold;Final;2
Capital Cup 2015;MXO;JGA;6;Fae;Clerey;;1;JGA;2;7;New Orleans Fluffy Dragons;Gold;Final;2
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;75;Giuseppe;Palma;M;1;Dragoni Milano;4;7;JGA;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;19;Erik;Ripamonti;M;1;Dragoni Milano;4;7;JGA;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;20;Giacomo;Allaria;M;2;Dragoni Milano;4;7;JGA;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;93;Francesca;Schianini;F;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;77;Leon;Prete;M;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;6;Sveva;Scarioni;F;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;23;Lorenzo;Brancale;M;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;0;Sara;Gorietti;M;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;13;Giuseppe;Donadono;M;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;9;Valentina;Petracca;F;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;50;Elisabetta;Allaria;F;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;;Rosangela;Rossi;F;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;10;Loris;Rapetti;M;;;;;;;;
Capital Cup 2015;MXO;Dragoni Milano;20;Giacomo;Allaria;M;1;Dragoni Milano;5;2;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;19;Erik;Ripamonti;M;1;Dragoni Milano;5;2;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;13;Giuseppe;Donadono;M;1;Dragoni Milano;5;2;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;75;Giuseppe;Palma;M;1;Dragoni Milano;5;2;Baden Banditos;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;20;Giacomo;Allaria;M;4;Dragoni Milano;5;8;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;75;Giuseppe;Palma;M;1;Dragoni Milano;5;8;XXX Amsterdam;Gold;Pool A;4
Capital Cup 2015;MXO;Dragoni Milano;20;Giacomo;Allaria;M;2;Dragoni Milano;4;1;BRC Bears;Bronze;½;2
Capital Cup 2015;MXO;Dragoni Milano;20;Giacomo;Allaria;M;4;Dragoni Milano;4;3;Hamburg;Bronze;Semifinal;2
Capital Cup 2015;MXO;Dragoni Milano;20;Giacomo;Allaria;M;2;Dragoni Milano;3;2;Turtleln Touch Modena;Bronze;Final;2
Capital Cup 2015;MXO;Dragoni Milano;77;Leon;Prete;M;1;Dragoni Milano;3;2;Turtleln Touch Modena;Bronze;Final;2
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Capital Cup 2015;MXO;Berlin;20;Jacopo;Ghisolfi;M;1;Berlin;9;1;Courant d'R;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;10;Andrew;Davis;M;3;Berlin;9;1;Courant d'R;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;14;Matthis;Birkhaus;M;2;Berlin;9;1;Courant d'R;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;3;Emily;Lux;F;1;Berlin;9;1;Courant d'R;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;16;Christophe;Lafourcade;M;1;Berlin;9;1;Courant d'R;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;30;Morgan;Terry;F;1;Berlin;9;1;Courant d'R;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;9;Hannes;Will;M;;;;;;;;
Capital Cup 2015;MXO;Berlin;7;Mark;Hansen;M;;;;;;;;
Capital Cup 2015;MXO;Berlin;4;Sophia;Davis;F;;;;;;;;
Capital Cup 2015;MXO;Berlin;28;Rachel;Collins;F;;;;;;;;
Capital Cup 2015;MXO;Berlin;;Kristin;Penning;F;;;;;;;;
Capital Cup 2015;MXO;Berlin;16;Christophe;Lafourcade;M;1;Berlin;5;7;Frankfurt;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;10;Andrew;Davis;M;2;Berlin;5;7;Frankfurt;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;28;Rachel;Collins;F;1;Berlin;5;7;Frankfurt;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;16;Christophe;Lafourcade;M;1;Berlin;8;0;Lokomotive Wien;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;10;Andrew;Davis;M;5;Berlin;8;0;Lokomotive Wien;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;;Kristin;Penning;F;1;Berlin;8;0;Lokomotive Wien;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;3;Emily;Lux;F;1;Berlin;8;0;Lokomotive Wien;Gold;Pool C;4
Capital Cup 2015;MXO;Berlin;28;Rachel;Collins;F;2;Berlin;3;5;New Orleans Fluffy Dragons;Gold;¼;2
Capital Cup 2015;MXO;Berlin;9;Hannes;Will;M;1;Berlin;3;5;New Orleans Fluffy Dragons;Gold;¼;2
Capital Cup 2015;MXO;Berlin;16;Christophe;Lafourcade;M;2;Berlin;7;1;XXX Amsterdam;Silver;Semifinal;2
Capital Cup 2015;MXO;Berlin;10;Andrew;Davis;M;1;Berlin;7;1;XXX Amsterdam;Silver;Semifinal;2
Capital Cup 2015;MXO;Berlin;9;Hannes;Will;M;1;Berlin;7;1;XXX Amsterdam;Silver;Semifinal;2
Capital Cup 2015;MXO;Berlin;28;Rachel;Collins;F;1;Berlin;7;1;XXX Amsterdam;Silver;Semifinal;2
Capital Cup 2015;MXO;Berlin;16;Christophe;Lafourcade;M;1;Berlin;7;2;Munich;Silver;Final;2
Capital Cup 2015;MXO;Berlin;10;Andrew;Davis;M;2;Berlin;7;2;Munich;Silver;Final;2
